repetition,method,events,elapsed_ns
0,heap,65536,1426394
0,scan,65536,148002
0,heap-replace,65536,867554
0,sort,65536,1448347
1,heap,65536,1407305
1,sort,65536,1412503
1,heap-replace,65536,892311
1,scan,65536,147642
2,heap-replace,65536,861485
2,scan,65536,147091
2,sort,65536,1413735
2,heap,65536,1435738
3,heap,65536,1421547
3,sort,65536,1496570
3,heap-replace,65536,868115
3,scan,65536,161663
4,heap-replace,65536,845030
4,scan,65536,147251
4,heap,65536,1607125
4,sort,65536,1484130
5,heap-replace,65536,868936
5,sort,65536,1461406
5,heap,65536,1411161
5,scan,65536,147782
6,heap,65536,1442679
6,sort,65536,1411362
6,scan,65536,147992
6,heap-replace,65536,857619
7,scan,65536,147371
7,heap-replace,65536,876558
7,heap,65536,1597952
7,sort,65536,1488758
8,heap-replace,65536,892071
8,scan,65536,164387
8,sort,65536,1638352
8,heap,65536,1570871
