repetition,method,events,elapsed_ns
0,heap,65536,2029040
0,scan,65536,9964035
0,heap-replace,65536,915706
0,sort,65536,1653916
1,heap,65536,2034838
1,sort,65536,1611542
1,heap-replace,65536,960945
1,scan,65536,9862604
2,heap-replace,65536,992521
2,scan,65536,10305229
2,sort,65536,1639815
2,heap,65536,2259947
3,heap,65536,2034578
3,sort,65536,1697601
3,heap-replace,65536,914534
3,scan,65536,10013691
4,heap-replace,65536,995086
4,scan,65536,9738887
4,heap,65536,2000567
4,sort,65536,1616629
5,heap-replace,65536,980113
5,sort,65536,1634496
5,heap,65536,2302921
5,scan,65536,9797867
6,heap,65536,1982269
6,sort,65536,1641096
6,scan,65536,10103035
6,heap-replace,65536,1006323
7,scan,65536,9711125
7,heap-replace,65536,917639
7,heap,65536,1993246
7,sort,65536,1619444
8,heap-replace,65536,929677
8,scan,65536,9770745
8,sort,65536,1695188
8,heap,65536,1986906
