repetition,method,events,elapsed_ns
0,heap,65536,2110873
0,scan,65536,3385389
0,heap-replace,65536,1031780
0,sort,65536,1666374
1,heap,65536,2041147
1,sort,65536,1689259
1,heap-replace,65536,1177921
1,scan,65536,3176724
2,heap-replace,65536,937379
2,scan,65536,3104967
2,sort,65536,1611732
2,heap,65536,1884362
3,heap,65536,1995288
3,sort,65536,1678442
3,heap-replace,65536,1048486
3,scan,65536,3161622
4,heap-replace,65536,929767
4,scan,65536,3141702
4,heap,65536,1818553
4,sort,65536,1694517
5,heap-replace,65536,931950
5,sort,65536,1602088
5,heap,65536,1822980
5,scan,65536,3301492
6,heap,65536,1878434
6,sort,65536,1629699
6,scan,65536,3112758
6,heap-replace,65536,912181
7,scan,65536,3508253
7,heap-replace,65536,931159
7,heap,65536,2483223
7,sort,65536,2480879
8,heap-replace,65536,968957
8,scan,65536,3493821
8,sort,65536,1700996
8,heap,65536,1828128
