repetition,method,events,elapsed_ns
0,heap,65536,1836762
0,scan,65536,1122498
0,heap-replace,65536,957940
0,sort,65536,1546886
1,heap,65536,1816522
1,sort,65536,1496741
1,heap-replace,65536,908937
1,scan,65536,1009097
2,heap-replace,65536,906063
2,scan,65536,1055127
2,sort,65536,1590291
2,heap,65536,1851093
3,heap,65536,1820207
3,sort,65536,1496069
3,heap-replace,65536,902588
3,scan,65536,1013835
4,heap-replace,65536,906113
4,scan,65536,1034456
4,heap,65536,1810212
4,sort,65536,1482971
5,heap-replace,65536,922617
5,sort,65536,1477872
5,heap,65536,1825806
5,scan,65536,1011861
6,heap,65536,1815319
6,sort,65536,1518013
6,scan,65536,1012582
6,heap-replace,65536,908286
7,scan,65536,1026504
7,heap-replace,65536,904611
7,heap,65536,1809011
7,sort,65536,1517843
8,heap-replace,65536,905081
8,scan,65536,1008937
8,sort,65536,1515419
8,heap,65536,1801459
