repetition,method,events,elapsed_ns
0,heap,16873,370316
0,scan,16873,76224
0,heap-replace,16873,219730
0,sort,16873,306379
1,heap,16873,367221
1,sort,16873,282965
1,heap-replace,16873,234873
1,scan,16873,74502
2,heap-replace,16873,221432
2,scan,16873,75233
2,sort,16873,316334
2,heap,16873,369264
3,heap,16873,365639
3,sort,16873,306911
3,heap-replace,16873,219789
3,scan,16873,74922
4,heap-replace,16873,219720
4,scan,16873,75293
4,heap,16873,382764
4,sort,16873,292789
5,heap-replace,16873,219590
5,sort,16873,304286
5,heap,16873,395814
5,scan,16873,76134
6,heap,16873,391287
6,sort,16873,288253
6,scan,16873,74542
6,heap-replace,16873,219739
7,scan,16873,73951
7,heap-replace,16873,235414
7,heap,16873,364717
7,sort,16873,294222
8,heap-replace,16873,235063
8,scan,16873,74933
8,sort,16873,286100
8,heap,16873,381913
