repetition,method,events,elapsed_ns
0,heap,65536,1978435
0,scan,65536,4171222
0,heap-replace,65536,933054
0,sort,65536,1576141
1,heap,65536,1965957
1,sort,65536,1553466
1,heap-replace,65536,932993
1,scan,65536,4297744
2,heap-replace,65536,1131121
2,scan,65536,4265665
2,sort,65536,1673055
2,heap,65536,2092116
3,heap,65536,2019467
3,sort,65536,1577823
3,heap-replace,65536,923459
3,scan,65536,4173066
4,heap-replace,65536,938712
4,scan,65536,4172574
4,heap,65536,1941860
4,sort,65536,1609691
5,heap-replace,65536,935306
5,sort,65536,1562140
5,heap,65536,1965025
5,scan,65536,4178483
6,heap,65536,1964475
6,sort,65536,1573677
6,scan,65536,4160046
6,heap-replace,65536,934555
7,scan,65536,4159745
7,heap-replace,65536,956649
7,heap,65536,1931024
7,sort,65536,1844243
8,heap-replace,65536,928496
8,scan,65536,4366787
8,sort,65536,1682049
8,heap,65536,1946187
