repetition,method,events,elapsed_ns
0,heap,65536,6672409
0,scan,65536,4919084
0,heap-replace,65536,1723500
0,sort,65536,2394169
1,heap,65536,2990876
1,sort,65536,2553408
1,heap-replace,65536,1795999
1,scan,65536,5138142
2,heap-replace,65536,1708508
2,scan,65536,4825773
2,sort,65536,4025951
2,heap,65536,4144630
3,heap,65536,3276274
3,sort,65536,2556102
3,heap-replace,65536,1694287
3,scan,65536,5036550
4,heap-replace,65536,1707797
4,scan,65536,4874196
4,heap,65536,3031877
4,sort,65536,2315551
5,heap-replace,65536,1721698
5,sort,65536,2600669
5,heap,65536,3343475
5,scan,65536,8430001
6,heap,65536,3346239
6,sort,65536,2368700
6,scan,65536,5197101
6,heap-replace,65536,1788868
7,scan,65536,4986784
7,heap-replace,65536,1826556
7,heap,65536,3048723
7,sort,65536,2269821
8,heap-replace,65536,1718643
8,scan,65536,4825523
8,sort,65536,2575301
8,heap,65536,3203935
