repetition,method,events,elapsed_ns
0,heap,65536,2269643
0,scan,65536,1221366
0,heap-replace,65536,1156038
0,sort,65536,1922020
1,heap,65536,2281170
1,sort,65536,1881890
1,heap-replace,65536,1083299
1,scan,65536,1242098
2,heap-replace,65536,1017761
2,scan,65536,1253826
2,sort,65536,1864804
2,heap,65536,2479428
3,heap,65536,2284986
3,sort,65536,1841159
3,heap-replace,65536,1030880
3,scan,65536,1234576
4,heap-replace,65536,1018311
4,scan,65536,1262399
4,heap,65536,2248271
4,sort,65536,1867107
5,heap-replace,65536,1015297
5,sort,65536,2133940
5,heap,65536,2343404
5,scan,65536,1255568
6,heap,65536,2418877
6,sort,65536,1866276
6,scan,65536,1231963
6,heap-replace,65536,1006955
7,scan,65536,1259333
7,heap-replace,65536,1023609
7,heap,65536,2316553
7,sort,65536,1848900
8,heap-replace,65536,1277611
8,scan,65536,1301447
8,sort,65536,2809655
8,heap,65536,2645979
