repetition,method,events,elapsed_ns
0,heap,1654,45849
0,scan,1654,188964
0,heap-replace,1654,38808
0,sort,1654,34172
1,heap,1654,45559
1,sort,1654,44266
1,heap-replace,1654,32319
1,scan,1654,188133
2,heap-replace,1654,24837
2,scan,1654,184087
2,sort,1654,25999
2,heap,1654,56995
3,heap,1654,45779
3,sort,1654,24417
3,heap-replace,1654,28313
3,scan,1654,184968
4,heap-replace,1654,30435
4,scan,1654,191818
4,heap,1654,42063
4,sort,1654,27972
5,heap-replace,1654,39429
5,sort,1654,23616
5,heap,1654,51628
5,scan,1654,184408
6,heap,1654,46290
6,sort,1654,24337
6,scan,1654,179941
6,heap-replace,1654,30856
7,scan,1654,177146
7,heap-replace,1654,24256
7,heap,1654,52378
7,sort,1654,25088
8,heap-replace,1654,23616
8,scan,1654,186430
8,sort,1654,22624
8,heap,1654,59500
