repetition,method,events,elapsed_ns
0,heap,4696,115704
0,scan,4696,90515
0,heap-replace,4696,69123
0,sort,4696,74702
1,heap,4696,107902
1,sort,4696,66349
1,heap-replace,4696,68463
1,scan,4696,89945
2,heap-replace,4696,75213
2,scan,4696,83665
2,sort,4696,67010
2,heap,4696,112168
3,heap,4696,107271
3,sort,4696,65017
3,heap-replace,4696,68292
3,scan,4696,85338
4,heap-replace,4696,61332
4,scan,4696,83005
4,heap,4696,105418
4,sort,4696,77707
5,heap-replace,4696,61141
5,sort,4696,62574
5,heap,4696,103735
5,scan,4696,89324
6,heap,4696,103075
6,sort,4696,63996
6,scan,4696,84236
6,heap-replace,4696,61462
7,scan,4696,82514
7,heap-replace,4696,60641
7,heap,4696,126209
7,sort,4696,66359
8,heap-replace,4696,68162
8,scan,4696,85739
8,sort,4696,63926
8,heap,4696,107712
