repetition,method,events,elapsed_ns
0,heap,65536,1740156
0,scan,65536,799111
0,heap-replace,65536,949587
0,sort,65536,1723621
1,heap,65536,1812164
1,sort,65536,1684863
1,heap-replace,65536,931961
1,scan,65536,593773
2,heap-replace,65536,878961
2,scan,65536,589907
2,sort,65536,1849299
2,heap,65536,1651422
3,heap,65536,1680285
3,sort,65536,1623740
3,heap-replace,65536,894505
3,scan,65536,623367
4,heap-replace,65536,891950
4,scan,65536,591599
4,heap,65536,1664101
4,sort,65536,1616750
5,heap-replace,65536,892201
5,sort,65536,1703280
5,heap,65536,1631222
5,scan,65536,609056
6,heap,65536,1863701
6,sort,65536,1690852
6,scan,65536,609356
6,heap-replace,65536,909176
7,scan,65536,597378
7,heap-replace,65536,892501
7,heap,65536,1791332
7,sort,65536,1657371
8,heap-replace,65536,1336820
8,scan,65536,617488
8,sort,65536,1692564
8,heap,65536,1757201
