repetition,method,events,elapsed_ns
0,heap,65536,3932080
0,scan,65536,18794178
0,heap-replace,65536,2896834
0,sort,65536,2630654
1,heap,65536,3950548
1,sort,65536,2538955
1,heap-replace,65536,3090805
1,scan,65536,18009999
2,heap-replace,65536,2766888
2,scan,65536,17986804
2,sort,65536,2626257
2,heap,65536,3809926
3,heap,65536,3694413
3,sort,65536,2560247
3,heap-replace,65536,2772787
3,scan,65536,17970690
4,heap-replace,65536,2858126
4,scan,65536,17900345
4,heap,65536,3749946
4,sort,65536,2807008
5,heap-replace,65536,2718326
5,sort,65536,2548140
5,heap,65536,3716316
5,scan,65536,18043539
6,heap,65536,3784027
6,sort,65536,2611695
6,scan,65536,17891550
6,heap-replace,65536,2809463
7,scan,65536,18110730
7,heap-replace,65536,2845427
7,heap,65536,4072872
7,sort,65536,2689702
8,heap-replace,65536,3532880
8,scan,65536,19135661
8,sort,65536,2649342
8,heap,65536,4059892
